"NestID","BirdID","t_","nsd_daily_mean","displacement","days_numeric"
"9005_2023_1","9005_2023",2023-02-10 16:00:41,17823.2032483599,43.2182178460679,60
"9005_2023_1","9005_2023",2023-02-10 16:00:41,37032.9456010938,68.8146496461398,61
"9005_2023_1","9005_2023",2023-02-10 16:00:41,161919.602118648,73.3629830284758,62
"9005_2023_1","9005_2023",2023-02-10 16:00:41,372226.592747648,80.4073641849361,63
"9005_2023_1","9005_2023",2023-02-10 16:00:41,39466.7012409794,85.9701695322255,64
"9005_2023_1","9005_2023",2023-02-10 16:00:41,108360.833252687,119.399591789098,65
"9005_2023_1","9005_2023",2023-02-10 16:00:41,106332.013927143,90.039739310508,66
"9005_2023_1","9005_2023",2023-02-10 16:00:41,81625.5023633651,81.6666115845992,67
"9005_2023_1","9005_2023",2023-02-10 16:00:41,139045.905991508,109.626200593398,68
"9005_2023_1","9005_2023",2023-02-10 16:00:41,37332.8711790536,108.878850188083,69
"9005_2023_1","9005_2023",2023-02-10 16:00:41,304615.360109328,73.472583692991,70
"9005_2023_1","9005_2023",2023-02-10 16:00:41,78574.4460144985,96.4166364556257,71
"9005_2023_1","9005_2023",2023-02-10 16:00:41,446825.9391665,102.116662698657,72
"9005_2023_1","9005_2023",2023-02-10 16:00:41,201445.851177855,64.212260311234,73
"9005_2023_1","9005_2023",2023-02-10 16:00:41,38263.7542099264,51.2588694316367,74
"9005_2023_1","9005_2023",2023-02-10 16:00:41,24079.2231016722,67.7140796396871,75
"9005_2023_1","9005_2023",2023-02-10 16:00:41,281172.1127054,156.743182504516,76
"9005_2023_1","9005_2023",2023-02-10 16:00:41,95650.5432259738,115.840874893114,77
"9005_2023_1","9005_2023",2023-02-10 16:00:41,456003.175266162,136.427427331593,78
"9005_2023_1","9005_2023",2023-02-10 16:00:41,105286.314636948,142.199571591508,79
"9005_2023_1","9005_2023",2023-02-10 16:00:41,455622.431235647,85.1963833207702,80
"9005_2023_1","9005_2023",2023-02-10 16:00:41,390275.957582847,109.071869178777,81
"9005_2023_1","9005_2023",2023-02-10 16:00:41,198663.645068619,110.137404092895,82
"9005_2023_1","9005_2023",2023-02-10 16:00:41,50152.4168734593,94.7068798412,83
"9005_2023_1","9005_2023",2023-02-10 16:00:41,363131.003046666,151.69024775188,84
