BirdID,name,mean,lower,upper,Rhat,n.eff
2586_2022,cp_1,38.49643278,38.01821172,38.97995696,1.00007791,24772
2586_2022,int_1,0.215188791,-0.210896543,0.639754635,1.000013462,25704
2586_2022,int_2,1.319154688,1.252598959,1.38800141,1.000127739,28057
2586_2022,sigma_1,0.309895994,0.264114449,0.360330977,0.999983267,23052
4253_2022,cp_1,33.50028306,33.04169933,33.98952131,0.999988846,31372
4253_2022,int_1,0.100043625,0.056950274,0.142808224,1.000091991,27033
4253_2022,int_2,0.896848977,0.88551817,0.908389844,1.000062082,27070
4253_2022,sigma_1,0.030754296,0.023003069,0.039355213,1.000040115,20738
4254_2022,cp_1,32.49935143,32.01985633,32.96964317,1.000275186,31856
4254_2022,int_1,0.102396594,0.08984454,0.115091196,1.000091783,26649
4254_2022,int_2,0.424062758,0.421713633,0.426403471,1.000281674,27172
4254_2022,sigma_1,0.006411771,0.004848719,0.008192701,1.000192541,19738
4255_2022,cp_1,94.60953748,94.00000457,95.60540729,0.999998527,16949
4255_2022,int_1,1.024660593,0.903683803,1.141529663,1.000150901,27067
4255_2022,int_2,2.756411341,2.572830265,2.945760906,1.000033507,27337
4255_2022,sigma_1,0.477308479,0.407223274,0.550289801,1.000254991,24811
4256_2022,cp_1,85.48794574,85.02673379,85.98899651,1.000149601,21104
4256_2022,int_1,0.163217266,0.155740448,0.170714465,1.000134584,26662
4256_2022,int_2,0.440785044,0.408851391,0.473521132,1.000302433,20168
4256_2022,sigma_1,0.027284666,0.022238948,0.032784847,1.000195811,21673
4268_2022,cp_1,38.49975391,38.02376994,38.97403551,0.999986809,31898
4268_2022,int_1,0.400351097,0.302232012,0.498978514,1.000034096,27126
4268_2022,int_2,1.566609103,1.511687058,1.621269251,1.000246583,27261
4268_2022,sigma_1,0.131980595,0.098223334,0.169544223,1.000413064,18628
4269_2022,cp_1,33.49752356,33.03963227,33.9907026,1.000052452,26674
4269_2022,int_1,0.174416513,0.134509772,0.214611509,1.000222546,18006
4269_2022,int_2,0.511404472,0.502601365,0.520057622,1.00000632,27201
4269_2022,sigma_1,0.028428469,0.022499093,0.034836525,1.000611536,22369
4271_2022,cp_1,75.50115092,75.03333422,75.98196787,1.000007629,32000
4271_2022,int_1,0.016571734,0.014254946,0.018867938,1.000232746,27051
4271_2022,int_2,0.075760818,0.060399334,0.090942835,1.000077534,28049
4271_2022,sigma_1,0.007719742,0.006136894,0.009432166,1.000123561,21667
4419_2022,cp_1,82.54698657,82.00175995,82.99677367,1.000339763,18963
4419_2022,int_1,0.742367059,0.65217274,0.832639355,1.000201162,25684
4419_2022,int_2,4.309793964,4.198053611,4.422601873,1.000134101,25297
4419_2022,sigma_1,0.320225438,0.2718953,0.371954058,1.00002807,24211
4601_2022,cp_1,92.23037961,89.98313947,93.99924041,1.004497159,11847
4601_2022,int_1,0.243262317,-0.187264187,0.652070621,1.000088501,26952
4601_2022,int_2,2.782710882,2.135776574,3.418996932,1.000187962,23394
4601_2022,sigma_1,1.664702278,1.421730051,1.921615633,1.00020221,24087
4602_2022,cp_1,79.252407,77.10857636,80.9998894,1.001070023,9003
4602_2022,int_1,0.297541926,0.275762261,0.319301394,1.000086241,27566
4602_2022,int_2,0.488006991,0.428489141,0.546526046,1.000562363,14335
4602_2022,sigma_1,0.075493662,0.061450496,0.090791294,1.000131267,20830
4603_2022,cp_1,101.5001216,101.0111075,101.9610141,1.00004261,32153
4603_2022,int_1,0.295621455,0.224318318,0.36639161,1.000112752,27108
4603_2022,int_2,1.714719422,1.583222372,1.855194615,1.000034141,28100
4603_2022,sigma_1,0.301684878,0.25817202,0.348939836,1.000410863,24487
4603_2023,cp_1,102.4100838,101.5232874,102.9999796,1.00134779,9279
4603_2023,int_1,0.489945364,0.37469109,0.608659163,1.000150309,25931
4603_2023,int_2,1.707506177,1.479764388,1.940376883,1.00027119,24903
4603_2023,sigma_1,0.487715112,0.416792982,0.566204211,1.000266832,23141
