BirdID,BandID,LPDV,name,mean,lower,upper,Rhat,n.eff,Status
2586_2022,2586,1,cp_1,38.49643278,38.01821172,38.97995696,1.00007791,24772,0
2586_2022,2586,1,int_1,0.215188791,-0.210896543,0.639754635,1.000013462,25704,0
2586_2022,2586,1,int_2,1.319154688,1.252598959,1.38800141,1.000127739,28057,0
2586_2022,2586,1,sigma_1,0.309895994,0.264114449,0.360330977,0.999983267,23052,0
4255_2022,4255,1,cp_1,94.60953748,94.00000457,95.60540729,0.999998527,16949,1
4255_2022,4255,1,int_1,1.024660593,0.903683803,1.141529663,1.000150901,27067,1
4255_2022,4255,1,int_2,2.756411341,2.572830265,2.945760906,1.000033507,27337,1
4255_2022,4255,1,sigma_1,0.477308479,0.407223274,0.550289801,1.000254991,24811,1
4268_2022,4268,1,cp_1,38.49975391,38.02376994,38.97403551,0.999986809,31898,0
4268_2022,4268,1,int_1,0.400351097,0.302232012,0.498978514,1.000034096,27126,0
4268_2022,4268,1,int_2,1.566609103,1.511687058,1.621269251,1.000246583,27261,0
4268_2022,4268,1,sigma_1,0.131980595,0.098223334,0.169544223,1.000413064,18628,0
4419_2022,4419,1,cp_1,82.54698657,82.00175995,82.99677367,1.000339763,18963,1
4419_2022,4419,1,int_1,0.742367059,0.65217274,0.832639355,1.000201162,25684,1
4419_2022,4419,1,int_2,4.309793964,4.198053611,4.422601873,1.000134101,25297,1
4419_2022,4419,1,sigma_1,0.320225438,0.2718953,0.371954058,1.00002807,24211,1
4601_2022,4601,1,cp_1,92.23037961,89.98313947,93.99924041,1.004497159,11847,0
4601_2022,4601,1,int_1,0.243262317,-0.187264187,0.652070621,1.000088501,26952,0
4601_2022,4601,1,int_2,2.782710882,2.135776574,3.418996932,1.000187962,23394,0
4601_2022,4601,1,sigma_1,1.664702278,1.421730051,1.921615633,1.00020221,24087,0
4603_2022,4603,1,cp_1,101.5001216,101.0111075,101.9610141,1.00004261,32153,0
4603_2022,4603,1,int_1,0.295621455,0.224318318,0.36639161,1.000112752,27108,0
4603_2022,4603,1,int_2,1.714719422,1.583222372,1.855194615,1.000034141,28100,0
4603_2022,4603,1,sigma_1,0.301684878,0.25817202,0.348939836,1.000410863,24487,0
4603_2023,4603,1,cp_1,102.4100838,101.5232874,102.9999796,1.00134779,9279,0
4603_2023,4603,1,int_1,0.489945364,0.37469109,0.608659163,1.000150309,25931,0
4603_2023,4603,1,int_2,1.707506177,1.479764388,1.940376883,1.00027119,24903,0
4603_2023,4603,1,sigma_1,0.487715112,0.416792982,0.566204211,1.000266832,23141,0
4605_2022,4605,1,cp_1,93.33181248,92.08831292,93.99988664,1.000580247,14576,0
4605_2022,4605,1,int_1,0.239028135,0.156240086,0.323569121,1.000128999,27252,0
4605_2022,4605,1,int_2,1.11025155,0.980389282,1.233957244,1.000104508,26077,0
4605_2022,4605,1,sigma_1,0.330598466,0.282425701,0.383025025,1.000086219,23105,0
4613_2022,4613,0,cp_1,81.49770517,81.03028329,81.97921535,0.999971432,31791,1
4613_2022,4613,0,int_1,1.510095237,1.383072102,1.638762997,0.999982202,30006,1
4613_2022,4613,0,int_2,4.554628019,4.411486522,4.700925983,1.000104063,27568,1
4613_2022,4613,0,sigma_1,0.457137752,0.391260784,0.528484509,1.000187105,24781,1
4621_2022,4621,0,cp_1,69.98896937,67.87784362,71.9955404,1.000129509,17479,0
4621_2022,4621,0,int_1,0.681626701,0.567954125,0.791121048,1.0000709,24117,0
4621_2022,4621,0,int_2,0.250694004,0.135909955,0.365521423,1.000185017,25313,0
4621_2022,4621,0,sigma_1,0.236381969,0.180403597,0.295593303,1.000091453,18224,0
4660_2022,4660,0,cp_1,90.84070142,89.01172615,92.94130895,1.000134515,18957,0
4660_2022,4660,0,int_1,1.599018838,1.428304286,1.768606703,1.000135351,25939,0
4660_2022,4660,0,int_2,2.327711585,2.180984992,2.476882714,1.000326271,27161,0
4660_2022,4660,0,sigma_1,0.403843356,0.325333029,0.486019274,1.000124698,21452,0
4660_2023,4660,0,cp_1,101.6711747,98.54464914,105.4512994,1.001197788,11506,0
4660_2023,4660,0,int_1,1.626026512,1.301094401,1.954370365,1.00012424,22939,0
4660_2023,4660,0,int_2,0.364319728,-0.06241066,0.814345885,1.000242315,23855,0
4660_2023,4660,0,sigma_1,0.928817794,0.755647506,1.118875804,1.000073392,20117,0
4662_2022,4662,1,cp_1,91.63014604,90.63497118,92.99985035,1.00037341,17576,0
4662_2022,4662,1,int_1,0.391295019,0.277314545,0.501497271,1.000102675,26263,0
4662_2022,4662,1,int_2,1.173807064,1.072686127,1.275590485,1.000183298,27118,0
4662_2022,4662,1,sigma_1,0.272105804,0.221109237,0.330726687,1.000347687,20443,0
4664_2022,4664,0,cp_1,85.6832384,85.00003252,86.82583746,1.008790881,12715,0
4664_2022,4664,0,int_1,0.463005714,0.312241143,0.610448933,1.000194255,19204,0
4664_2022,4664,0,int_2,1.129432588,1.059034455,1.199801238,1.00003231,26024,0
4664_2022,4664,0,sigma_1,0.207013949,0.163896575,0.255903265,1.000265671,18492,0
8164_2022,8164,1,cp_1,65.94199269,63.99596957,67.67583335,1.000041033,7275,0
8164_2022,8164,1,int_1,0.930927,0.767879792,1.093123105,1.000546417,25939,0
8164_2022,8164,1,int_2,1.946915526,1.816564513,2.077948696,1.000008098,23545,0
8164_2022,8164,1,sigma_1,0.469753886,0.399706896,0.545154311,1.000068774,22844,0
8165_2022,8165,1,cp_1,38.09239878,35.99966571,41.49987588,1.000005507,9563,0
8165_2022,8165,1,int_1,0.169108917,-0.128348003,0.45408719,1.000230727,12180,0
8165_2022,8165,1,int_2,0.728908555,0.660719132,0.797402116,1.000143841,25793,0
8165_2022,8165,1,sigma_1,0.250799916,0.205414987,0.299279801,1.000031033,21671,0
8166_2022,8166,1,cp_1,65.98263049,64.04079393,67.98931963,1.000202968,7727,0
8166_2022,8166,1,int_1,0.481069582,0.28807067,0.673434037,1.000191193,26973,0
8166_2022,8166,1,int_2,1.496492013,1.24320425,1.738308485,1.000168415,20694,0
8166_2022,8166,1,sigma_1,0.546382078,0.43847607,0.656274718,1.000085717,19845,0
8168_2022,8168,1,cp_1,66.1448533,64.27358466,66.9999293,1.00059957,7513,0
8168_2022,8168,1,int_1,0.747607996,0.545316619,0.948957874,1.00008754,27510,0
8168_2022,8168,1,int_2,2.207823777,2.048765444,2.362012878,1.00000515,23176,0
8168_2022,8168,1,sigma_1,0.578727926,0.492613998,0.668643311,1.00011704,22375,0
8168_2023,8168,1,cp_1,66.51398634,66.0117531,66.97484516,1.000183241,23859,1
8168_2023,8168,1,int_1,0.508333352,0.354294642,0.659165516,1.000050436,27225,1
8168_2023,8168,1,int_2,3.1148455,2.994486078,3.237218001,1.000377949,27434,1
8168_2023,8168,1,sigma_1,0.452593926,0.386064428,0.522498736,1.000038568,23908,1
8169_2022,8169,1,cp_1,66.6700877,66.00017735,67.98916266,1.000027941,17974,1
8169_2022,8169,1,int_1,0.608667564,0.376171526,0.844802438,1.000047117,25987,1
8169_2022,8169,1,int_2,2.667214761,2.484816116,2.849145522,1.000047769,27454,1
8169_2022,8169,1,sigma_1,0.677139114,0.580254328,0.783739413,1.000121139,24363,1
8172_2022,8172,1,cp_1,75.92525462,73.05051092,77.9997353,1.000132651,4681,0
8172_2022,8172,1,int_1,0.266288623,0.060022205,0.467820546,1.00007785,9596,0
8172_2022,8172,1,int_2,0.871269345,0.7932603,0.9515454,1.000045458,19740,0
8172_2022,8172,1,sigma_1,0.25327,0.206251311,0.306861354,1.000068931,22318,0
8173_2022,8173,1,cp_1,76.99238429,73.99988883,78.44502476,1.000103122,1373,0
8173_2022,8173,1,int_1,0.611900146,0.423143594,0.796224619,1.000039616,4363,0
8173_2022,8173,1,int_2,1.349498667,1.272481125,1.427077667,1.000126097,10628,0
8173_2022,8173,1,sigma_1,0.245983039,0.197548318,0.296500232,1.000120704,16815,0
8174_2023,8174,1,cp_1,101.5367941,101.0038119,101.9962787,1.000419018,18730,0
8174_2023,8174,1,int_1,0.381720309,0.196029909,0.558603589,1.000079123,27155,0
8174_2023,8174,1,int_2,2.159710761,1.912263131,2.40567842,1.000380644,27056,0
8174_2023,8174,1,sigma_1,0.542292439,0.440814491,0.653785391,1.0001825,22241,0
8175_2022,8175,1,cp_1,74.38906594,71.0497322,79.35604405,1.047142986,360,0
8175_2022,8175,1,int_1,0.782187075,0.541407637,1.053665592,1.007500552,1720,0
8175_2022,8175,1,int_2,1.37429069,1.296946348,1.452579578,1.001046123,5246,0
8175_2022,8175,1,sigma_1,0.252839292,0.204055355,0.304705148,1.000501262,16147,0
8176_2023,8176,1,cp_1,89.77138053,78.04234535,110.7038634,1.003825261,1089,0
8176_2023,8176,1,int_1,0.29734769,0.154609609,0.436046844,1.001376622,3713,0
8176_2023,8176,1,int_2,0.577411656,0.435940763,0.716934746,1.001516125,2226,0
8176_2023,8176,1,sigma_1,0.259549624,0.207397049,0.316823795,1.00021243,14586,0
8177_2022,8177,1,cp_1,70.11304656,67.7552119,73.9562114,1.077932764,340,0
8177_2022,8177,1,int_1,0.429585847,0.20296951,0.67061756,1.013935139,2436,0
8177_2022,8177,1,int_2,1.357240875,1.24891334,1.464566637,1.006863476,4961,0
8177_2022,8177,1,sigma_1,0.348147103,0.287724647,0.412120255,1.000612499,17768,0
8179_2022,8179,1,cp_1,64.76261531,64.00018889,65.82414131,1.055320567,11969,0
8179_2022,8179,1,int_1,0.978280825,0.856560419,1.096685283,1.004168595,15219,0
8179_2022,8179,1,int_2,1.78122174,1.734265536,1.824970946,1.000305793,22424,0
8179_2022,8179,1,sigma_1,0.171031512,0.142099713,0.202757231,1.000647757,21019,0
8180_2022,8180,1,cp_1,109.8268434,102.8114245,112.0046077,1.000294974,1301,0
8180_2022,8180,1,int_1,0.966905373,0.910352243,1.02108991,1.000016268,7833,0
8180_2022,8180,1,int_2,1.522174212,1.357608555,1.66481243,1.000115862,2998,0
8180_2022,8180,1,sigma_1,0.191711801,0.158455357,0.226987648,1.000092598,17449,0
8180_2023,8180,1,cp_1,68.44930717,61.01493103,70.99988205,1.024790742,97,0
8180_2023,8180,1,int_1,0.664585554,0.410776484,0.900157866,1.00705249,578,0
8180_2023,8180,1,int_2,1.329667588,1.206276341,1.447931774,1.002882605,1724,0
8180_2023,8180,1,sigma_1,0.36527421,0.29729007,0.439624761,1.000864984,12994,0
8181_2022,8181,1,cp_1,80.00314319,56.00111672,113.4764202,1.002109571,687,0
8181_2022,8181,1,int_1,0.679790303,0.437832453,0.909317154,1.001509526,1163,0
8181_2022,8181,1,int_2,0.765496978,0.570639454,0.894008903,1.001264396,1769,0
8181_2022,8181,1,sigma_1,0.285657561,0.237416514,0.337128643,1.000013448,22844,0
8181_2023,8181,1,cp_1,95.47188718,90.00030703,97.34689415,1.005962598,720,0
8181_2023,8181,1,int_1,0.476523627,0.366794156,0.583561584,1.000399092,7308,0
8181_2023,8181,1,int_2,1.410012688,1.259318227,1.548976644,1.000694896,3854,0
8181_2023,8181,1,sigma_1,0.328367016,0.273143145,0.388857865,1.000075557,21856,0
8183_2022,8183,1,cp_1,90.50045748,90.04590385,90.9950769,0.99997922400000006,31576,1
8183_2022,8183,1,int_1,1.337038966,1.12843887,1.544689072,1.000001024,27655,1
8183_2022,8183,1,int_2,9.247306955,9.023601511,9.474329626,1.00010434,28249,1
8183_2022,8183,1,sigma_1,0.629576053,0.524994415,0.746337171,1.000093793,24728,1
8183_2023,8183,1,cp_1,111.0774563,109.1599988,112.0000637,1.000289275,8299,0
8183_2023,8183,1,int_1,0.686043475,0.607383385,0.766586193,1.000024896,26865,0
8183_2023,8183,1,int_2,1.488843518,1.28120879,1.695046312,1.000097212,16831,0
8183_2023,8183,1,sigma_1,0.300500385,0.250652766,0.357096426,1.0003489780000001,21006,0
