bandid,LPDV,REV
2586,1,0
4253,1,0
4254,1,0
4255,1,0
4256,1,0
4257,1,0
4268,1,0
4269,1,0
4271,0,0
4419,1,0
4601,1,0
4602,0,0
4603,1,0
4604,1,0
4605,1,0
4610,1,0
4611,0,0
4613,0,0
4614,1,0
4620,1,0
4621,0,0
4660,0,0
4662,1,0
4663,0,0
4664,0,0
4698,1,0
4699,1,0
4851,1,0
4852,0,0
4853,1,0
4854,1,0
4855,1,0
4856,1,0
4857,1,0
4858,1,0
4859,1,0
4876,1,0
4877,1,0
4926,0,0
4927,1,0
4928,1,0
4929,0,0
4930,1,0
4931,1,0
4932,1,0
4933,1,0
4934,0,0
4935,1,0
4936,1,0
4939,1,0
4940,0,0
4941,0,0
4956,0,0
4957,1,0
4958,1,0
4959,1,0
4960,1,0
4961,1,0
4962,1,0
4963,0,0
5090,1,0
5101,1,0
5111,0,0
5112,0,0
5113,1,0
5115,0,0
5130,1,0
5136,1,0
5137,1,0
5138,1,0
5280,1,0
5281,1,0
5282,0,0
5284,1,0
5285,1,0
5286,1,0
5288,1,0
5292,1,0
5293,1,0
5294,1,0
5295,1,0
5301,1,0
5302,1,0
5303,1,0
5328,0,0
5329,1,0
5330,1,0
5331,0,0
5332,1,0
5333,1,0
5334,1,0
5335,1,0
5336,1,0
5337,1,0
5338,1,0
5339,1,0
5341,1,0
5342,1,0
5343,1,0
5344,1,0
5345,1,0
5348,0,0
5349,1,0
5359,1,0
5360,1,0
5361,1,0
5363,0,0
5365,1,0
5373,0,0
5375,0,0
5401,0,0
5402,0,0
5403,1,0
5404,1,0
5405,0,0
5552,1,0
5553,1,0
5554,0,0
5555,0,0
5556,0,0
5558,0,0
5559,0,0
5560,1,0
5562,0,0
5563,0,0
5564,0,0
5565,0,0
5566,1,0
5567,1,0
5568,0,0
5569,1,0
5573,1,0
5574,1,0
5580,0,0
5581,0,0
5582,0,0
5583,0,0
5584,0,0
5585,1,0
5586,1,0
5587,1,0
5601,0,0
5603,0,0
5607,1,0
5608,1,0
5609,1,0
5611,1,0
5613,1,0
5614,1,0
5615,1,0
5616,1,0
5617,1,0
5618,1,0
5619,1,0
5620,1,0
5625,1,1
5713,1,0
5714,0,0
5715,0,0
5716,1,0
5719,1,0
5720,0,0
5721,0,0
5722,0,0
5723,0,0
5724,1,0
5735,0,0
5736,0,0
5737,0,0
5738,0,0
5739,0,0
5745,1,0
5836,1,0
5837,1,0
5838,0,0
5839,1,0
5840,1,0
5841,0,0
5842,0,0
5843,1,0
5844,1,0
5846,1,0
5847,1,0
5848,0,0
5849,1,0
5850,1,0
5851,1,0
5852,1,0
5853,1,0
5854,1,0
5855,0,0
5856,1,0
5857,1,0
5859,0,0
5860,1,0
5861,1,0
5862,1,0
5863,1,0
5864,1,0
5867,1,0
5869,1,0
5870,1,0
5871,1,0
5873,1,0
5874,1,0
5875,0,0
5876,0,0
5877,1,0
5878,1,0
5879,0,0
5880,0,0
5881,0,0
5882,0,0
5888,0,0
5889,0,0
5890,0,0
5891,1,0
5892,0,0
5893,1,0
5894,1,0
5895,1,0
5896,1,0
6673,1,0
6914,1,0
7019,1,0
8164,1,0
8165,1,0
8166,1,0
8168,1,0
8169,1,0
8172,1,0
8173,1,0
8174,1,0
8175,1,0
8176,1,0
8177,1,0
8178,1,0
8179,1,0
8180,1,0
8181,1,0
8183,1,0
8184,0,0
8185,1,0
8186,0,0
8187,1,0
8188,1,0
8189,1,0
8190,1,0
8192,1,0
8193,1,0
8201,1,0
8202,0,0
8203,1,0
8206,0,0
8207,1,0
