"","BandID","BirdID","Age","StudyArea","Year","LPDV","ChangePoint"
"1",4255,"4255_2022",0,"3D",2022,1,2022-04-04
"2",4419,"4419_2022",0,"4D",2022,1,2022-03-23
"3",4613,"4613_2022",1,"3D",2022,0,2022-03-22
"4",8168,"8168_2023",0,"2D",2023,1,2023-03-07
"5",8169,"8169_2022",0,"2D",2022,1,2022-03-07
"6",8183,"8183_2022",1,"2D",2022,1,2022-03-31
"7",8184,"8184_2022",0,"2D",2022,0,2022-03-31
"8",8184,"8184_2023",0,"2D",2023,0,2023-02-27
"9",8188,"8188_2023",0,"2D",2023,1,2023-03-23
"10",8202,"8202_2022",1,"4D",2022,0,2022-03-26
"11",8206,"8206_2022",1,"4D",2022,0,2022-03-29
"12",8207,"8207_2022",0,"4D",2022,1,2022-04-12
"13",8208,"8208_2022",0,"4D",2022,0,2022-03-20
"14",8223,"8223_2022",0,"4D",2022,1,2022-04-03
"15",8223,"8223_2023",0,"4D",2023,1,2023-04-23
"16",8260,"8260_2023",0,"4D",2023,0,2023-03-24
"17",8451,"8451_2022",0,"5C",2022,1,2022-04-04
"18",8453,"8453_2022",0,"5C",2022,1,2022-04-06
"19",8455,"8455_2022",1,"5C",2022,0,2022-04-16
"20",8456,"8456_2022",1,"5C",2022,0,2022-03-31
"21",8463,"8463_2022",1,"5C",2022,0,2022-04-09
"22",8468,"8468_2022",0,"5C",2022,1,2022-04-06
"23",8471,"8471_2022",0,"5C",2022,1,2022-04-08
"24",8478,"8478_2022",1,"5C",2022,0,2022-04-04
"25",8479,"8479_2022",1,"5C",2022,0,2022-04-03
"26",8501,"8501_2023",0,"5C",2023,1,2023-03-22
"27",8502,"8502_2022",0,"5C",2022,1,2022-04-11
"28",8503,"8503_2022",1,"5C",2022,0,2022-04-12
"29",8579,"8579_2023",1,"2D",2023,1,2023-04-04
"30",8586,"8586_2023",1,"2D",2023,0,2023-04-04
"31",8666,"8666_2023",0,"2D",2023,1,2023-04-06
"32",8667,"8667_2023",0,"2D",2023,1,2023-04-10
"33",8670,"8670_2023",0,"2D",2023,1,2023-03-11
"34",8672,"8672_2023",0,"2D",2023,0,2023-04-10
"35",8674,"8674_2023",0,"2D",2023,1,2023-02-22
"36",8751,"8751_2023",0,"4D",2023,0,2023-02-23
"37",8759,"8759_2023",0,"4D",2023,1,2023-02-21
"38",8773,"8773_2023",1,"4D",2023,0,2023-04-12
"39",8805,"8805_2023",0,"4D",2023,0,2023-03-23
"40",8807,"8807_2023",0,"4D",2023,0,2023-03-22
"41",8810,"8810_2023",0,"4D",2023,1,2023-04-03
"42",8811,"8811_2023",0,"4D",2023,0,2023-04-22
"43",8812,"8812_2023",1,"4D",2023,0,2023-04-12
"44",8904,"8904_2023",1,"4D",2023,1,2023-03-30
"45",8909,"8909_2023",0,"4D",2023,1,2023-04-09
"46",8952,"8952_2023",0,"3D",2023,0,2023-03-30
"47",8955,"8955_2023",0,"3D",2023,1,2023-03-25
"48",8992,"8992_2023",1,"3D",2023,1,2023-04-01
"49",8995,"8995_2023",1,"3D",2023,0,2023-04-01
"50",9001,"9001_2023",1,"3D",2023,1,2023-04-25
"51",9008,"9008_2023",1,"3D",2023,0,2023-04-04
"52",9015,"9015_2023",1,"3D",2023,0,2023-03-25
"53",9018,"9018_2023",1,"3D",2023,0,2023-04-13
"54",9021,"9021_2023",0,"3D",2023,1,2023-04-15
"55",9026,"9026_2023",0,"3D",2023,1,2023-04-07
"56",9027,"9027_2023",0,"3D",2023,0,2023-04-06
"57",9034,"9034_2023",1,"3D",2023,0,2023-04-22
"58",9036,"9036_2023",1,"3D",2023,0,2023-04-19
"59",9057,"9057_2023",0,"5C",2023,1,2023-03-27
"60",9061,"9061_2023",1,"5C",2023,0,2023-03-26
"61",9062,"9062_2023",0,"5C",2023,0,2023-04-12
"62",9063,"9063_2023",0,"5C",2023,1,2023-04-06
"63",9065,"9065_2023",0,"5C",2023,1,2023-04-06
"64",9070,"9070_2023",0,"5C",2023,1,2023-04-22
"65",9072,"9072_2023",0,"5C",2023,1,2023-03-30
"66",9075,"9075_2023",0,"5C",2023,1,2023-03-22
"67",9076,"9076_2023",0,"5C",2023,1,2023-04-01
"68",9078,"9078_2023",0,"5C",2023,1,2023-04-12
"69",9079,"9079_2023",0,"5C",2023,1,2023-04-04
"70",9080,"9080_2023",1,"5C",2023,0,2023-04-17
"71",9081,"9081_2023",1,"5C",2023,0,2023-03-25
"72",9082,"9082_2023",0,"5C",2023,1,2023-04-04
"73",9088,"9088_2023",1,"5C",2023,0,2023-04-11
